Student_ID,First_Name,Last_Name,Full_School_Name,School,Grade,Gender,Race,Ethnicity,Street,City,State,Zip,Lat,Lon,Address,Students,Grade_for_Sorting
42018,Brooke,Allen,Chestnut Academy,CA,1,Female,White,Non-Hispanic,,,,,,,,1,1
43714,Barbara,Anderson,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,,,,,,,,1,1
43215,Amy,Archer,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,,,,,,,,1,1
43940,Dawn,Arnold,Chestnut Academy,CA,1,Female,African American,Non-Hispanic,,,,,,,,1,1
42859,Karen,Bonilla,Chestnut Academy,CA,1,Female,African American,Hispanic,,,,,,,,1,1
42169,Stephanie,Boyer,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,,,,,,,,1,1
43778,Jeanne,Brown,Chestnut Academy,CA,1,Female,White,Non-Hispanic,,,,,,,,1,1
43922,Lauren,Burton,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,,,,,,,,1,1
42898,Ashley,Carter,Chestnut Academy,CA,1,Female,White,Non-Hispanic,,,,,,,,1,1
41847,Ronald,Castillo,Chestnut Academy,CA,1,Male,White,Non-Hispanic,,,,,,,,1,1
43663,Lisa,Chavez,Chestnut Academy,CA,1,Female,American Indian,Non-Hispanic,,,,,,,,1,1
40776,Patrick,Clarke,Chestnut Academy,CA,1,Male,White,Hispanic,,,,,,,,1,1
41516,Clayton,Cooper,Chestnut Academy,CA,1,Male,African American,Non-Hispanic,,,,,,,,1,1
43393,Monica,Delgado,Chestnut Academy,CA,1,Female,White,Non-Hispanic,,,,,,,,1,1
43859,Danielle,Diaz,Chestnut Academy,CA,1,Female,African American,Non-Hispanic,,,,,,,,1,1
40392,Steven,Diaz,Chestnut Academy,CA,1,Male,African American,Hispanic,,,,,,,,1,1
42423,Rachel,Dickerson,Chestnut Academy,CA,1,Female,White,Non-Hispanic,,,,,,,,1,1
41182,Joseph,Dickson,Chestnut Academy,CA,1,Male,Asian,Non-Hispanic,,,,,,,,1,1
43530,Jessica,Ferguson,Chestnut Academy,CA,1,Female,White,Non-Hispanic,,,,,,,,1,1
43522,Crystal,Fletcher,Chestnut Academy,CA,1,Female,White,Non-Hispanic,,,,,,,,1,1
43730,Meagan,Floyd,Chestnut Academy,CA,1,Female,African American,Hispanic,,,,,,,,1,1
41338,Tyler,Frazier,Chestnut Academy,CA,1,Male,White,Hispanic,,,,,,,,1,1
40694,David,Gibson,Chestnut Academy,CA,1,Male,African American,Hispanic,,,,,,,,1,1
43007,Shannon,Hardy,Chestnut Academy,CA,1,Female,American Indian,Non-Hispanic,,,,,,,,1,1
40294,Steven,Harmon,Chestnut Academy,CA,1,Male,African American,Hispanic,,,,,,,,1,1
43081,Hannah,Hart,Chestnut Academy,CA,1,Female,White,Hispanic,,,,,,,,1,1
40247,David,Hill,Chestnut Academy,CA,1,Male,White,Non-Hispanic,,,,,,,,1,1
42531,Mary,Ingram,Chestnut Academy,CA,1,Female,White,Hispanic,,,,,,,,1,1
40519,Andrew,Jackson,Chestnut Academy,CA,1,Male,African American,Non-Hispanic,,,,,,,,1,1
43218,Connie,Jenkins,Chestnut Academy,CA,1,Female,African American,Non-Hispanic,,,,,,,,1,1
40386,Jared,Johns,Chestnut Academy,CA,1,Male,White,Non-Hispanic,,,,,,,,1,1
40108,Jonathan,Johnson,Chestnut Academy,CA,1,Male,White,Hispanic,,,,,,,,1,1
42143,Regina,Jones,Chestnut Academy,CA,1,Female,White,Non-Hispanic,,,,,,,,1,1
42757,Theresa,Kidd,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,,,,,,,,1,1
41283,Anthony,King,Chestnut Academy,CA,1,Male,African American,Non-Hispanic,,,,,,,,1,1
43873,Maria,Larson,Chestnut Academy,CA,1,Female,White,Hispanic,,,,,,,,1,1
41632,William,Macias,Chestnut Academy,CA,1,Male,African American,Non-Hispanic,,,,,,,,1,1
43491,Nancy,Matthews,Chestnut Academy,CA,1,Female,African American,Non-Hispanic,,,,,,,,1,1
42863,Bonnie,Mccullough,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,,,,,,,,1,1
43753,Cheryl,Mcguire,Chestnut Academy,CA,1,Female,White,Hispanic,,,,,,,,1,1
40918,Bryan,Mcintyre,Chestnut Academy,CA,1,Male,African American,Hispanic,,,,,,,,1,1
43489,Colleen,Morris,Chestnut Academy,CA,1,Female,White,Non-Hispanic,,,,,,,,1,1
43842,Melissa,Nelson,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,,,,,,,,1,1
40287,Craig,Olsen,Chestnut Academy,CA,1,Male,Asian,Non-Hispanic,,,,,,,,1,1
43387,Natalie,Poole,Chestnut Academy,CA,1,Female,American Indian,Hispanic,,,,,,,,1,1
42497,Angela,Pope,Chestnut Academy,CA,1,Female,Asian,Hispanic,,,,,,,,1,1
