Student_ID,First_Name,Last_Name,Full_School_Name,School,Grade,Gender,Race,Ethnicity,Street,City,State,Zip,Lat,Lon,Address,geometry,Students,Grade_for_Sorting
2403,Donna,Adams,Chestnut Academy,CA,1,Female,Asian,Hispanic,3846 KING ST,ALEXANDRIA,VA,22302,38.83146,-77.094591,"3846 KING ST, ALEXANDRIA, VA 22302",POINT (-77.094591 38.83146),1,1
2026,Tina,Allison,Chestnut Academy,CA,1,Female,Asian,Hispanic,5100 Cleveland Street,Virginia Beach,VA,23462,36.843364,-76.159497,"5100 Cleveland Street, Virginia Beach, VA 23462",POINT (-76.159497 36.843364),1,1
287,Joseph,Anderson,Chestnut Academy,CA,1,Male,Asian,Non-Hispanic,185 Washington Lee Dr,Bristol,VA,24201,36.611087,-82.178164,"185 Washington Lee Dr, Bristol, VA 24201",POINT (-82.178164 36.611087),1,1
1338,Lonnie,Anderson,Chestnut Academy,CA,1,Male,White,Hispanic,5720 Marshall Ave.,Newport News,VA,23605,37.0035,-76.4267,"5720 Marshall Ave., Newport News, VA 23605",POINT (-76.4267 37.0035),1,1
1847,Randy,Archer,Chestnut Academy,CA,1,Male,White,Non-Hispanic,8201 Jefferson Davis Hwy,Fredericksburg,VA,22407,38.1824,-77.5114,"8201 Jefferson Davis Hwy, Fredericksburg, VA 22407",POINT (-77.5114 38.1824),1,1
3663,Crystal,Avila,Chestnut Academy,CA,1,Female,American Indian,Non-Hispanic,2009 Andrews Blvd,Hampton,VA,23663,37.0465,-76.3123,"2009 Andrews Blvd, Hampton, VA 23663",POINT (-76.3123 37.0465),1,1
3007,Megan,Banks,Chestnut Academy,CA,1,Female,American Indian,Non-Hispanic,1114 Schooldays Rd,Big Island,VA,24526,37.5314,-79.4161,"1114 Schooldays Rd, Big Island, VA 24526",POINT (-79.4161 37.5314),1,1
2423,Janice,Bauer,Chestnut Academy,CA,1,Female,White,Non-Hispanic,6735 FAYETTE ST,HAYMARKET,VA,20169,38.811595,-77.637951,"6735 FAYETTE ST, HAYMARKET, VA 20169",POINT (-77.637951 38.811595),1,1
3095,Ashley,Bell,Chestnut Academy,CA,1,Female,Asian,Hispanic,26 Pleasant View Road,Austinville,VA,24312,36.797065,-80.851642,"26 Pleasant View Road, Austinville, VA 24312",POINT (-80.851642 36.797065),1,1
2018,Kimberly,Blankenship,Chestnut Academy,CA,1,Female,White,Non-Hispanic,1616 Upton Dr,Virginia Beach,VA,23454,36.7846,-75.9916,"1616 Upton Dr, Virginia Beach, VA 23454",POINT (-75.9916 36.7846),1,1
3081,Colleen,Bradley,Chestnut Academy,CA,1,Female,White,Hispanic,194 Dennis Riddle Dr.,Rustburg,VA,24588,37.25146,-79.18272,"194 Dennis Riddle Dr., Rustburg, VA 24588",POINT (-79.18272 37.25146),1,1
1632,Daniel,Brennan,Chestnut Academy,CA,1,Male,African American,Non-Hispanic,1301 Whitehead Rd,Richmond,VA,23225,37.489169,-77.508759,"1301 Whitehead Rd, Richmond, VA 23225",POINT (-77.508759 37.489169),1,1
267,Nicholas,Clark,Chestnut Academy,CA,1,Male,American Indian,Non-Hispanic,600 Edmund Street,Bedford,VA,24523,37.32717,-79.525091,"600 Edmund Street, Bedford, VA 24523",POINT (-79.525091 37.32717),1,1
3842,Ashley,Cook,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,36 Primary School Circle,Lancaster,VA,22503,37.7513,-76.4165,"36 Primary School Circle, Lancaster, VA 22503",POINT (-76.4165 37.7513),1,1
646,Patrick,Cooper,Chestnut Academy,CA,1,Male,White,Non-Hispanic,7607 Willow Ln,Falls Church,VA,22042,38.8709,-77.2088,"7607 Willow Ln, Falls Church, VA 22042",POINT (-77.2088 38.8709),1,1
3922,Gail,Cruz,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,43100 Hay Road,Ashburn,VA,20147,39.0492,-77.5093,"43100 Hay Road, Ashburn, VA 20147",POINT (-77.5093 39.0492),1,1
2757,Sheila,Davis,Chestnut Academy,CA,1,Female,Asian,Non-Hispanic,2 DOLD PL,LEXINGTON,VA,24450,37.78838,-79.447801,"2 DOLD PL, LEXINGTON, VA 24450",POINT (-79.447801 37.78838),1,1
1182,John,Everett,Chestnut Academy,CA,1,Male,Asian,Non-Hispanic,22325 Mooreview Parkway,Ashburn,VA,20148,38.9993,-77.5055,"22325 Mooreview Parkway, Ashburn, VA 20148",POINT (-77.5055 38.9993),1,1
247,Daniel,Frank,Chestnut Academy,CA,1,Male,White,Non-Hispanic,1237 Lacey Putney Way,Bedford,VA,24523,37.370107,-79.491756,"1237 Lacey Putney Way, Bedford, VA 24523",POINT (-79.491756 37.370107),1,1
2143,Diana,Frank,Chestnut Academy,CA,1,Female,White,Non-Hispanic,6011 YORK RD,RICHMOND,VA,23226,37.57402,-77.522881,"6011 YORK RD, RICHMOND, VA 23226",POINT (-77.522881 37.57402),1,1
